Dia,Ganancias
17-12-2021,16000
18-12-2021,108500
19-12-2021,24000
20-12-2021,9000
21-12-2021,68500
22-12-2021,23000
23-12-2021,55000
24-12-2021,64200
25-12-2021,3000
26-12-2021,6000
27-12-2021,11500
28-12-2021,4500
29-12-2021,9000
30-12-2021,13500
31-12-2021,10000
01-01-2022,24000
02-01-2022,28000
03-01-2022,5000
04-01-2022,6000
05-01-2022,10000
06-01-2022,22000
07-01-2022,3000
08-01-2022,7500
09-01-2022,8000
10-01-2022,12500
11-01-2022,15000
12-01-2022,52500
13-01-2022,42000
14-01-2022,31000
15-01-2022,77000
16-01-2022,2500
17-01-2022,20000
18-01-2022,29500
19-01-2022,11500
20-01-2022,10000
21-01-2022,51500
22-01-2022,23000
23-01-2022,2000
24-01-2022,60500
25-01-2022,33000
26-01-2022,4500
27-01-2022,27000
28-01-2022,38000
29-01-2022,68500
30-01-2022,18000
31-01-2022,5000
01-02-2022,3000
02-02-2022,54000
03-02-2022,95700
04-02-2022,16000
05-02-2022,30500
06-02-2022,15000
07-02-2022,8000
08-02-2022,25500
09-02-2022,25500
10-02-2022,7000
11-02-2022,34900
12-02-2022,52500
13-02-2022,30500
14-02-2022,98500
15-02-2022,7000
16-02-2022,35500
17-02-2022,5000
18-02-2022,67000
19-02-2022,28500
20-02-2022,56500
21-02-2022,10000
22-02-2022,65500
23-02-2022,53500
24-02-2022,8000
25-02-2022,4500
26-02-2022,32000
27-02-2022,8000
28-02-2022,4500
01-03-2022,7000
02-03-2022,14000
03-03-2022,18000
04-03-2022,16000
05-03-2022,45000
06-03-2022,5000
07-03-2022,4000
08-03-2022,67000
09-03-2022,9000
10-03-2022,8000
11-03-2022,42000
12-03-2022,56500
13-03-2022,20000
14-03-2022,19500
15-03-2022,12500
16-03-2022,24500
17-03-2022,5000
18-03-2022,40500
19-03-2022,8000
20-03-2022,12000
21-03-2022,9000
22-03-2022,12000
23-03-2022,2000
24-03-2022,13500
25-03-2022,16000
26-03-2022,38000
27-03-2022,31500
28-03-2022,13000
29-03-2022,21000
30-03-2022,28000
31-03-2022,22000
01-04-2022,24000
02-04-2022,15000
03-04-2022,94500
04-04-2022,18000
05-04-2022,23000
